"activity","time","p","p_peak","p_smooth"
"Playing baseball",1270,0.000103825454642902,0.222395567703536,0.222395567703536
"Playing baseball",1275,0.000103825454642902,0.222395567703536,0.227027557094598
"Playing baseball",1280,0.000110312792624421,0.236291535876723,0.227135605475928
"Playing baseball",1285,0.000103976781925602,0.222719712847525,0.227243653857258
"Playing baseball",1290,0.000103976781925602,0.222719712847525,0.213321531799304
"Playing baseball",1295,9.08141488269697e-05,0.194525169702861,0.203923350751083
"Playing baseball",1300,9.08141488269697e-05,0.194525169702861,0.188323649616748
"Playing baseball",1305,8.21286028549916e-05,0.175920609444523,0.175355439175916
"Playing baseball",1310,7.26515070239764e-05,0.155620538380365,0.162387228735084
"Playing baseball",1315,7.26515070239764e-05,0.155620538380365,0.155620538380365
"Playing baseball",1320,7.26515070239764e-05,0.155620538380365,0.127300686155058
"Playing baseball",1325,3.29881059534313e-05,0.0706609817044444,0.0989808339297513
"Playing baseball",1330,3.29881059534313e-05,0.0706609817044444,0.0706609817044444
"Playing baseball",1335,3.29881059534313e-05,0.0706609817044444,0.0706609817044444
"Playing baseball",1340,3.29881059534313e-05,0.0706609817044444,0.0706609817044444
"Playing baseball",1345,3.29881059534313e-05,0.0706609817044444,0.0706609817044444
"Playing baseball",1350,3.29881059534313e-05,0.0706609817044444,0.0660289923133818
"Playing baseball",1355,2.65007679719128e-05,0.0567650135312567,0.0613970029223193
"Playing baseball",1360,2.65007679719128e-05,0.0567650135312567,0.0567650135312567
"Playing baseball",1365,2.65007679719128e-05,0.0567650135312567,0.0567650135312567
"Playing baseball",1370,2.65007679719128e-05,0.0567650135312567,0.0567650135312567
"Playing baseball",1375,2.65007679719128e-05,0.0567650135312567,0.0567650135312567
"Playing baseball",1380,2.65007679719128e-05,0.0567650135312567,0.0378433423541711
"Playing baseball",1385,0,0,0.0189216711770856
"Playing baseball",1390,0,0,0
"Playing baseball",1395,0,0,0
"Playing baseball",1400,0,0,0
"Playing baseball",1405,0,0,0
"Playing baseball",1410,0,0,0
"Playing baseball",1415,0,0,0
"Playing baseball",1420,0,0,0
"Playing baseball",1425,0,0,0
"Playing baseball",1430,0,0,0
"Playing baseball",1435,0,0,0
"Playing baseball",1440,0,0,0
